" Sub-national electricity sales and numbers of customers, 2016 (1) ",,,, Number of MPANs (thousands) ,,,,, Sales (GWh) ,,,,, Averages (KWh) ,,,,,,,,,,, Average domestic consumption per household (kWh) (2) ,
,,,, Domestic consumers ,,, Non-domestic consumers ,, Domestic consumers ,,, Non-domestic consumers , All , Domestic Economy 7 ,, Standard ,, All domestic ,, Non-domestic ,, All ,,,,
 Region , Local Authority , LA Code , LAU1 , Economy 7 meters , Standard Meters , All domestic , All Non-domestic , Total number of Meters , Economy 7 meters , Standard meters , All domestic , All non-domestic , Total consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption ,,,
 SOUTH EAST ,Shepway,E07000112,UKJ4208, 13 , 37 , 50 , 5 , 55 , 63 , 130 , 193 , 221 , 414 ," 4,762 "," 3,599 "," 3,501 "," 2,848 "," 3,831 "," 3,007 "," 45,048 "," 5,328 "," 7,491 "," 3,058 ",," 3,867 ",
 SOUTH EAST ,Swale,E07000113,UKJ4209, 13 , 47 , 60 , 5 , 65 , 61 , 177 , 237 , 420 , 658 ," 4,750 "," 3,674 "," 3,739 "," 3,129 "," 3,954 "," 3,229 "," 84,464 "," 8,051 "," 10,119 "," 3,299 ",," 3,975 ",
 SOUTH EAST ,Thanet,E07000114,UKJ4210, 15 , 52 , 67 , 6 , 72 , 62 , 176 , 238 , 280 , 518 ," 4,244 "," 3,340 "," 3,387 "," 2,790 "," 3,575 "," 2,892 "," 49,029 "," 5,556 "," 7,162 "," 2,943 ",," 3,778 ",
 SOUTH EAST ,Tonbridge and Malling,E07000115,UKJ4211, 11 , 41 , 53 , 4 , 57 , 60 , 162 , 222 , 283 , 505 ," 5,315 "," 3,983 "," 3,910 "," 3,222 "," 4,212 "," 3,355 "," 64,536 "," 9,496 "," 8,848 "," 3,433 ",," 4,342 ",
 SOUTH EAST ,Tunbridge Wells,E07000116,UKJ4212, 15 , 34 , 49 , 5 , 54 , 87 , 135 , 222 , 272 , 494 ," 5,708 "," 4,296 "," 4,022 "," 3,170 "," 4,547 "," 3,452 "," 50,471 "," 7,589 "," 9,122 "," 3,541 ",," 4,488 ",
 SOUTH EAST ,Cherwell,E07000177,UKJ1401, 9 , 54 , 63 , 6 , 69 , 59 , 213 , 272 , 447 , 719 ," 6,425 "," 5,162 "," 3,972 "," 3,210 "," 4,330 "," 3,375 "," 77,807 "," 10,992 "," 10,486 "," 3,490 ",," 4,554 ",
 SOUTH EAST ,Oxford,E07000178,UKJ1402, 7 , 51 , 58 , 6 , 65 , 37 , 176 , 214 , 634 , 848 ," 5,493 "," 4,744 "," 3,431 "," 2,798 "," 3,671 "," 2,911 "," 98,304 "," 9,088 "," 13,122 "," 3,029 ",," 3,596 ",
 SOUTH EAST ,South Oxfordshire,E07000179,UKJ1403, 9 , 52 , 61 , 6 , 67 , 60 , 230 , 290 , 490 , 780 ," 6,816 "," 5,569 "," 4,406 "," 3,436 "," 4,754 "," 3,616 "," 81,667 "," 8,442 "," 11,633 "," 3,720 ",," 5,136 ",
 SOUTH EAST ,Vale of White Horse,E07000180,UKJ1404, 6 , 50 , 56 , 5 , 61 , 42 , 198 , 240 , 477 , 717 ," 7,038 "," 6,050 "," 3,971 "," 3,205 "," 4,299 "," 3,356 "," 91,519 "," 8,645 "," 11,752 "," 3,442 ",," 4,574 ",
 SOUTH EAST ,West Oxfordshire,E07000181,UKJ1405, 6 , 42 , 48 , 5 , 54 , 43 , 180 , 223 , 295 , 518 ," 7,259 "," 6,080 "," 4,236 "," 3,374 "," 4,607 "," 3,547 "," 56,935 "," 8,560 "," 9,667 "," 3,651 ",," 4,872 ",
 SOUTH EAST ,Elmbridge,E07000207,UKJ2301, 10 , 47 , 57 , 5 , 62 , 55 , 230 , 286 , 258 , 543 ," 5,720 "," 4,413 "," 4,907 "," 3,686 "," 5,046 "," 3,791 "," 48,656 "," 7,863 "," 8,774 "," 3,869 ",," 5,265 ",
 SOUTH EAST ,Epsom and Ewell,E07000208,UKJ2302, 5 , 27 , 32 , 2 , 34 , 26 , 107 , 133 , 94 , 227 ," 4,921 "," 3,996 "," 4,029 "," 3,394 "," 4,176 "," 3,467 "," 41,879 "," 7,684 "," 6,671 "," 3,521 ",," 4,175 ",
 SOUTH EAST ,Guildford,E07000209,UKJ2303, 11 , 46 , 57 , 5 , 63 , 63 , 196 , 258 , 335 , 593 ," 5,553 "," 4,335 "," 4,244 "," 3,346 "," 4,501 "," 3,494 "," 61,464 "," 8,969 "," 9,442 "," 3,584 ",," 4,483 ",
 SOUTH EAST ,Mole Valley,E07000210,UKJ2304, 9 , 28 , 37 , 4 , 41 , 51 , 126 , 177 , 234 , 411 ," 5,840 "," 4,547 "," 4,502 "," 3,518 "," 4,819 "," 3,719 "," 59,779 "," 7,586 "," 10,129 "," 3,818 ",," 4,782 ",
 SOUTH EAST ,Reigate and Banstead,E07000211,UKJ2305, 13 , 47 , 60 , 5 , 65 , 66 , 194 , 260 , 340 , 601 ," 5,153 "," 4,085 "," 4,128 "," 3,331 "," 4,348 "," 3,466 "," 66,526 "," 7,368 "," 9,243 "," 3,534 ",," 4,375 ",
 SOUTH EAST ,Runnymede,E07000212,UKJ2312, 6 , 29 , 34 , 3 , 38 , 32 , 124 , 156 , 248 , 404 ," 5,528 "," 4,581 "," 4,338 "," 3,362 "," 4,537 "," 3,510 "," 78,912 "," 9,204 "," 10,772 "," 3,597 ",," 4,465 ",
 SOUTH EAST ,Spelthorne,E07000213,UKJ2313, 4 , 38 , 42 , 3 , 45 , 25 , 146 , 171 , 198 , 369 ," 5,838 "," 5,125 "," 3,835 "," 3,232 "," 4,041 "," 3,350 "," 63,517 "," 8,926 "," 8,123 "," 3,407 ",," 4,130 ",
 SOUTH EAST ,Surrey Heath,E07000214,UKJ2308, 3 , 33 , 36 , 3 , 39 , 15 , 146 , 161 , 225 , 387 ," 5,640 "," 4,798 "," 4,425 "," 3,629 "," 4,516 "," 3,695 "," 78,164 "," 9,529 "," 10,015 "," 3,764 ",," 4,621 ",
 SOUTH EAST ,Tandridge,E07000215,UKJ2309, 8 , 28 , 36 , 3 , 40 , 49 , 126 , 174 , 133 , 308 ," 6,098 "," 4,645 "," 4,473 "," 3,474 "," 4,832 "," 3,679 "," 38,250 "," 7,782 "," 7,769 "," 3,771 ",," 4,909 ",
 SOUTH EAST ,Waverley,E07000216,UKJ2310, 6 , 47 , 53 , 5 , 58 , 38 , 213 , 251 , 176 , 427 ," 6,611 "," 5,193 "," 4,503 "," 3,475 "," 4,731 "," 3,602 "," 34,751 "," 9,078 "," 7,355 "," 3,706 ",," 4,948 ",
 SOUTH EAST ,Woking,E07000217,UKJ2311, 11 , 31 , 42 , 3 , 46 , 57 , 132 , 189 , 415 , 603 ," 5,139 "," 4,272 "," 4,242 "," 3,433 "," 4,478 "," 3,618 "," 121,642 "," 8,499 "," 13,238 "," 3,693 ",," 4,679 ",
 SOUTH EAST ,Adur,E07000223,UKJ2401, 9 , 20 , 28 , 2 , 30 , 39 , 69 , 108 , 86 , 195 ," 4,520 "," 3,621 "," 3,544 "," 2,988 "," 3,844 "," 3,147 "," 39,333 "," 6,851 "," 6,406 "," 3,195 ",," 3,831 ",
 SOUTH EAST ,Arun,E07000224,UKJ2402, 13 , 61 , 74 , 6 , 80 , 65 , 221 , 286 , 205 , 491 ," 5,169 "," 4,232 "," 3,591 "," 2,947 "," 3,860 "," 3,085 "," 35,800 "," 6,638 "," 6,152 "," 3,139 ",," 4,053 ",
 SOUTH EAST ,Chichester,E07000225,UKJ2403, 8 , 49 , 58 , 6 , 64 , 60 , 207 , 267 , 315 , 582 ," 7,055 "," 5,886 "," 4,189 "," 3,145 "," 4,608 "," 3,367 "," 48,513 "," 6,872 "," 9,043 "," 3,460 ",," 5,147 ",
 SOUTH EAST ,Crawley,E07000226,UKJ2404, 10 , 34 , 44 , 3 , 48 , 44 , 119 , 162 , 469 , 631 ," 4,232 "," 3,450 "," 3,495 "," 2,988 "," 3,667 "," 3,089 "," 139,090 "," 9,745 "," 13,260 "," 3,142 ",," 3,559 ",
 SOUTH EAST ,Horsham,E07000227,UKJ2405, 16 , 44 , 60 , 6 , 66 , 94 , 183 , 277 , 249 , 525 ," 5,962 "," 4,469 "," 4,110 "," 3,238 "," 4,595 "," 3,483 "," 42,437 "," 7,706 "," 7,950 "," 3,567 ",," 4,785 ",
 SOUTH EAST ,Mid Sussex,E07000228,UKJ2406, 16 , 47 , 63 , 6 , 68 , 87 , 179 , 266 , 242 , 508 ," 5,448 "," 4,200 "," 3,838 "," 3,116 "," 4,250 "," 3,334 "," 43,241 "," 8,642 "," 7,458 "," 3,416 ",," 4,347 ",
 SOUTH EAST ,Worthing,E07000229,UKJ2407, 15 , 35 , 50 , 4 , 54 , 67 , 119 , 186 , 185 , 372 ," 4,530 "," 3,650 "," 3,399 "," 2,855 "," 3,734 "," 3,045 "," 43,539 "," 6,679 "," 6,862 "," 3,101 ",," 3,761 ",
 SOUTH WEST ,Bath and North East Somerset,E06000022,UKK1201, 10 , 71 , 81 , 9 , 90 , 61 , 259 , 321 , 333 , 654 ," 5,981 "," 5,023 "," 3,645 "," 2,998 "," 3,940 "," 3,122 "," 37,861 "," 6,346 "," 7,251 "," 3,197 ",," 4,204 ",
 SOUTH WEST ,Bournemouth,E06000028,UKK2101, 12 , 77 , 89 , 9 , 98 , 64 , 258 , 322 , 350 , 672 ," 5,261 "," 4,400 "," 3,343 "," 2,730 "," 3,605 "," 2,856 "," 39,287 "," 5,098 "," 6,837 "," 2,906 ",," 3,629 ",
 SOUTH WEST ,"Bristol, City of ",E06000023,UKK1100, 21 , 177 , 197 , 19 , 216 , 108 , 585 , 693 ," 1,084 "," 1,778 "," 5,164 "," 4,328 "," 3,316 "," 2,765 "," 3,512 "," 2,862 "," 58,357 "," 7,935 "," 8,229 "," 2,943 ",," 3,602 ",
 SOUTH WEST ,Cornwall,E06000052,UKK3008, 66 , 204 , 271 , 34 , 304 , 463 , 810 ," 1,273 "," 1,272 "," 2,545 "," 6,970 "," 6,060 "," 3,967 "," 3,188 "," 4,703 "," 3,584 "," 37,939 "," 6,154 "," 8,366 "," 3,680 ",," 5,276 ",
 SOUTH WEST ,Isles of Scilly,E06000053,UKK3009, 0 , 1 , 1 , 0 , 2 , 4 , 4 , 8 , 9 , 17 ," 8,557 "," 7,789 "," 5,357 "," 4,264 "," 6,660 "," 5,725 "," 18,560 "," 5,442 "," 10,145 "," 5,674 ",," 7,801 ",
 SOUTH WEST ,North Somerset,E06000024,UKK1202, 10 , 86 , 95 , 8 , 103 , 55 , 306 , 361 , 392 , 753 ," 5,791 "," 4,796 "," 3,574 "," 3,001 "," 3,795 "," 3,090 "," 49,084 "," 7,334 "," 7,300 "," 3,156 ",," 3,879 ",
 SOUTH WEST ,Plymouth,E06000026,UKK4100, 11 , 107 , 118 , 9 , 127 , 51 , 348 , 399 , 505 , 904 ," 4,509 "," 3,593 "," 3,253 "," 2,821 "," 3,374 "," 2,869 "," 57,076 "," 6,387 "," 7,107 "," 2,922 ",," 3,524 ",
 SOUTH WEST ,Poole,E06000029,UKK2102, 6 , 63 , 69 , 6 , 76 , 33 , 224 , 257 , 390 , 647 ," 5,591 "," 4,963 "," 3,538 "," 2,940 "," 3,712 "," 3,027 "," 62,597 "," 7,427 "," 8,573 "," 3,100 ",," 3,887 ",
 SOUTH WEST ,South Gloucestershire,E06000025,UKK1203, 14 , 101 , 115 , 8 , 124 , 81 , 367 , 448 , 698 ," 1,146 "," 5,827 "," 4,651 "," 3,619 "," 3,089 "," 3,886 "," 3,194 "," 84,923 "," 9,819 "," 9,274 "," 3,262 ",," 3,911 ",
 SOUTH WEST ,Swindon,E06000030,UKK1400, 8 , 88 , 96 , 6 , 102 , 43 , 303 , 347 , 713 ," 1,060 "," 5,736 "," 4,980 "," 3,445 "," 2,956 "," 3,626 "," 3,037 "," 113,486 "," 9,924 "," 10,404 "," 3,100 ",," 3,705 ",
 SOUTH WEST ,Torbay,E06000027,UKK4200, 9 , 56 , 66 , 6 , 72 , 48 , 190 , 239 , 206 , 444 ," 5,248 "," 4,510 "," 3,377 "," 2,827 "," 3,640 "," 2,960 "," 33,764 "," 6,231 "," 6,200 "," 3,031 ",," 3,907 ",
 SOUTH WEST ,Wiltshire,E06000054,UKK1500, 32 , 186 , 217 , 22 , 239 , 241 , 739 , 981 ," 1,172 "," 2,153 "," 7,633 "," 6,779 "," 3,980 "," 3,215 "," 4,511 "," 3,453 "," 53,491 "," 7,638 "," 8,998 "," 3,540 ",," 4,755 ",
 SOUTH WEST ,East Devon,E07000040,UKK4301, 10 , 58 , 68 , 7 , 75 , 67 , 205 , 272 , 227 , 499 ," 6,677 "," 5,727 "," 3,534 "," 2,866 "," 3,997 "," 3,056 "," 30,955 "," 6,869 "," 6,622 "," 3,158 ",," 4,391 ",
 SOUTH WEST ,Exeter,E07000041,UKK4302, 7 , 47 , 54 , 5 , 59 , 35 , 147 , 182 , 383 , 565 ," 5,107 "," 4,435 "," 3,146 "," 2,653 "," 3,398 "," 2,783 "," 69,718 "," 9,296 "," 9,560 "," 2,888 ",," 3,412 ",
 SOUTH WEST ,Mid Devon,E07000042,UKK4303, 6 , 29 , 35 , 5 , 40 , 44 , 113 , 157 , 184 , 341 ," 7,154 "," 6,262 "," 3,935 "," 3,173 "," 4,497 "," 3,449 "," 38,363 "," 6,905 "," 8,588 "," 3,575 ",," 4,599 ",
 SOUTH WEST ,North Devon,E07000043,UKK4304, 7 , 37 , 44 , 6 , 51 , 46 , 138 , 184 , 268 , 451 ," 6,578 "," 5,561 "," 3,693 "," 2,990 "," 4,150 "," 3,195 "," 41,420 "," 6,642 "," 8,897 "," 3,321 ",," 4,479 ",
 SOUTH WEST ,South Hams,E07000044,UKK4305, 10 , 35 , 45 , 6 , 51 , 68 , 136 , 204 , 249 , 453 ," 7,073 "," 5,985 "," 3,842 "," 3,044 "," 4,533 "," 3,392 "," 40,289 "," 6,365 "," 8,845 "," 3,518 ",," 5,366 ",
 SOUTH WEST ,Teignbridge,E07000045,UKK4306, 9 , 53 , 62 , 6 , 68 , 57 , 192 , 249 , 239 , 488 ," 6,418 "," 5,364 "," 3,634 "," 3,004 "," 4,037 "," 3,185 "," 37,255 "," 6,699 "," 7,173 "," 3,274 ",," 4,384 ",
 SOUTH WEST ,Torridge,E07000046,UKK4307, 6 , 26 , 32 , 5 , 36 , 40 , 99 , 139 , 125 , 264 ," 6,988 "," 6,091 "," 3,827 "," 3,068 "," 4,401 "," 3,349 "," 26,848 "," 6,364 "," 7,281 "," 3,472 ",," 4,700 ",
 SOUTH WEST ,West Devon,E07000047,UKK4308, 4 , 21 , 25 , 4 , 29 , 31 , 84 , 116 , 132 , 248 ," 7,172 "," 5,913 "," 4,034 "," 3,228 "," 4,574 "," 3,486 "," 35,294 "," 5,854 "," 8,538 "," 3,596 ",," 4,846 ",
 SOUTH WEST ,Christchurch,E07000048,UKK2202, 2 , 21 , 24 , 2 , 26 , 13 , 73 , 86 , 102 , 188 ," 5,306 "," 4,621 "," 3,428 "," 2,853 "," 3,619 "," 2,946 "," 49,785 "," 6,811 "," 7,283 "," 3,007 ",," 3,860 ",
 SOUTH WEST ,East Dorset,E07000049,UKK2203, 4 , 36 , 40 , 4 , 43 , 23 , 146 , 169 , 134 , 303 ," 6,214 "," 5,202 "," 4,072 "," 3,315 "," 4,269 "," 3,414 "," 36,873 "," 7,904 "," 7,010 "," 3,495 ",," 4,374 ",
 SOUTH WEST ,North Dorset,E07000050,UKK2204, 4 , 28 , 32 , 4 , 36 , 31 , 111 , 142 , 137 , 278 ," 7,119 "," 5,985 "," 3,994 "," 3,182 "," 4,417 "," 3,362 "," 35,723 "," 6,828 "," 7,753 "," 3,456 ",," 4,665 ",
 SOUTH WEST ,Purbeck,E07000051,UKK2206, 3 , 21 , 23 , 3 , 26 , 16 , 74 , 90 , 279 , 369 ," 6,496 "," 5,262 "," 3,587 "," 2,858 "," 3,906 "," 2,982 "," 97,851 "," 6,073 "," 14,252 "," 3,062 ",," 4,462 ",
 SOUTH WEST ,West Dorset,E07000052,UKK2207, 9 , 43 , 52 , 8 , 60 , 66 , 156 , 223 , 222 , 445 ," 7,169 "," 5,990 "," 3,639 "," 2,890 "," 4,266 "," 3,150 "," 29,535 "," 6,107 "," 7,453 "," 3,259 ",," 4,834 ",
 SOUTH WEST ,Weymouth and Portland,E07000053,UKK2208, 3 , 29 , 32 , 3 , 35 , 17 , 92 , 109 , 99 , 208 ," 5,065 "," 4,386 "," 3,206 "," 2,698 "," 3,403 "," 2,790 "," 33,645 "," 4,555 "," 5,936 "," 2,825 ",," 3,764 ",
 SOUTH WEST ,Cheltenham,E07000078,UKK1301, 9 , 46 , 55 , 5 , 60 , 45 , 156 , 201 , 310 , 510 ," 5,006 "," 3,934 "," 3,364 "," 2,794 "," 3,633 "," 2,918 "," 68,402 "," 8,488 "," 8,531 "," 2,998 ",," 3,823 ",
 SOUTH WEST ,Cotswold,E07000079,UKK1302, 8 , 36 , 44 , 6 , 50 , 62 , 164 , 226 , 194 , 420 ," 8,010 "," 6,550 "," 4,589 "," 3,413 "," 5,197 "," 3,681 "," 32,458 "," 7,589 "," 8,482 "," 3,820 ",," 5,998 ",
 SOUTH WEST ,Forest of Dean,E07000080,UKK1303, 6 , 31 , 38 , 3 , 41 , 45 , 127 , 172 , 243 , 416 ," 7,005 "," 5,437 "," 4,071 "," 3,330 "," 4,576 "," 3,526 "," 72,288 "," 7,465 "," 10,128 "," 3,606 ",," 4,815 ",
 SOUTH WEST ,Gloucester,E07000081,UKK1304, 7 , 49 , 56 , 4 , 60 , 35 , 169 , 204 , 352 , 556 ," 4,775 "," 3,885 "," 3,469 "," 3,003 "," 3,638 "," 3,082 "," 84,162 "," 10,203 "," 9,231 "," 3,162 ",," 3,808 ",
 SOUTH WEST ,Stroud,E07000082,UKK1305, 9 , 44 , 53 , 5 , 57 , 57 , 170 , 226 , 302 , 529 ," 6,171 "," 4,835 "," 3,893 "," 3,201 "," 4,289 "," 3,377 "," 66,335 "," 8,442 "," 9,229 "," 3,464 ",," 4,500 ",
 SOUTH WEST ,Tewkesbury,E07000083,UKK1306, 6 , 34 , 39 , 3 , 43 , 33 , 125 , 158 , 327 , 485 ," 5,709 "," 4,377 "," 3,715 "," 3,057 "," 4,006 "," 3,175 "," 99,892 "," 10,176 "," 11,375 "," 3,270 ",," 4,160 ",
 SOUTH WEST ,Mendip,E07000187,UKK2301, 6 , 45 , 51 , 6 , 58 , 43 , 172 , 214 , 315 , 530 ," 6,819 "," 5,718 "," 3,805 "," 3,050 "," 4,173 "," 3,207 "," 50,381 "," 7,149 "," 9,189 "," 3,316 ",," 4,438 ",
 SOUTH WEST ,Sedgemoor,E07000188,UKK2302, 9 , 45 , 54 , 6 , 60 , 57 , 172 , 229 , 364 , 593 ," 6,533 "," 5,534 "," 3,789 "," 3,124 "," 4,231 "," 3,325 "," 65,072 "," 7,328 "," 9,935 "," 3,417 ",," 4,391 ",
 SOUTH WEST ,South Somerset,E07000189,UKK2303, 13 , 63 , 77 , 8 , 85 , 96 , 242 , 338 , 396 , 734 ," 7,090 "," 6,138 "," 3,819 "," 3,135 "," 4,392 "," 3,388 "," 47,725 "," 7,178 "," 8,614 "," 3,486 ",," 4,644 ",
 SOUTH WEST ,Taunton Deane,E07000190,UKK2304, 8 , 46 , 53 , 5 , 58 , 46 , 159 , 205 , 213 , 418 ," 6,132 "," 5,255 "," 3,488 "," 2,867 "," 3,862 "," 3,041 "," 40,260 "," 7,474 "," 7,158 "," 3,139 ",," 4,119 ",
 SOUTH WEST ,West Somerset,E07000191,UKK2305, 4 , 14 , 18 , 3 , 21 , 30 , 51 , 81 , 82 , 163 ," 6,947 "," 5,859 "," 3,720 "," 2,960 "," 4,481 "," 3,332 "," 30,864 "," 5,354 "," 7,878 "," 3,432 ",," 5,153 ",
 WALES ,Isle of Anglesey,W06000001,UKL1100, 5 , 30 , 35 , 4 , 39 , 38 , 113 , 151 , 145 , 295 ," 7,085 "," 5,969 "," 3,792 "," 3,165 "," 4,296 "," 3,352 "," 39,027 "," 5,611 "," 7,615 "," 3,422 ",," 4,870 ",
 WALES ,Gwynedd,W06000002,UKL1200, 13 , 49 , 62 , 9 , 70 , 82 , 171 , 253 , 288 , 541 ," 6,544 "," 5,398 "," 3,484 "," 2,932 "," 4,107 "," 3,164 "," 33,500 "," 5,779 "," 7,709 "," 3,269 ",," 4,695 ",
 WALES ,Conwy,W06000003,UKL1304, 5 , 51 , 56 , 6 , 63 , 33 , 170 , 203 , 192 , 394 ," 6,032 "," 4,763 "," 3,345 "," 2,828 "," 3,605 "," 2,920 "," 30,615 "," 6,727 "," 6,310 "," 3,018 ",," 3,878 ",
 WALES ,Denbighshire,W06000004,UKL1305, 4 , 40 , 44 , 5 , 48 , 27 , 143 , 170 , 198 , 369 ," 6,704 "," 5,474 "," 3,613 "," 3,030 "," 3,900 "," 3,125 "," 41,975 "," 6,991 "," 7,624 "," 3,228 ",," 4,119 ",
 WALES ,Flintshire,W06000005,UKL2304, 4 , 63 , 67 , 5 , 72 , 23 , 228 , 251 , 773 ," 1,024 "," 6,444 "," 4,754 "," 3,610 "," 3,126 "," 3,764 "," 3,162 "," 144,216 "," 8,924 "," 14,198 "," 3,250 ",," 3,838 ",
 WALES ,Wrexham,W06000006,UKL2305, 4 , 55 , 59 , 5 , 64 , 26 , 191 , 218 , 655 , 873 ," 6,008 "," 4,624 "," 3,489 "," 3,040 "," 3,676 "," 3,098 "," 140,765 "," 9,213 "," 13,665 "," 3,180 ",," 3,716 ",
 WALES ,Powys,W06000023,UKL2400, 8 , 53 , 62 , 11 , 73 , 62 , 199 , 261 , 316 , 577 ," 7,374 "," 6,075 "," 3,730 "," 3,052 "," 4,225 "," 3,237 "," 28,317 "," 5,795 "," 7,906 "," 3,385 ",," 4,418 ",
 WALES ,Ceredigion,W06000008,UKL1407, 8 , 25 , 34 , 6 , 39 , 61 , 96 , 156 , 186 , 342 ," 7,227 "," 5,931 "," 3,771 "," 3,065 "," 4,630 "," 3,453 "," 33,000 "," 6,263 "," 8,686 "," 3,599 ",," 4,982 ",
 WALES ,Pembrokeshire,W06000009,UKL1408, 7 , 53 , 61 , 8 , 69 , 46 , 186 , 231 , 772 ," 1,003 "," 6,183 "," 4,748 "," 3,478 "," 2,907 "," 3,809 "," 3,020 "," 92,557 "," 6,632 "," 14,517 "," 3,144 ",," 4,226 ",
 WALES ,Carmarthenshire,W06000010,UKL1409, 6 , 79 , 85 , 10 , 95 , 41 , 269 , 310 , 557 , 867 ," 6,871 "," 5,317 "," 3,411 "," 2,892 "," 3,655 "," 2,971 "," 56,495 "," 6,871 "," 9,154 "," 3,084 ",," 3,858 ",
 WALES ,Swansea,W06000011,UKL1800, 5 , 106 , 112 , 8 , 120 , 30 , 334 , 364 , 544 , 908 ," 5,468 "," 4,358 "," 3,144 "," 2,704 "," 3,258 "," 2,751 "," 67,599 "," 8,571 "," 7,589 "," 2,816 ",," 3,382 ",
 WALES ,Neath Port Talbot,W06000012,UKL1706, 2 , 64 , 66 , 4 , 70 , 8 , 204 , 212 ," 1,167 "," 1,379 "," 5,097 "," 3,896 "," 3,181 "," 2,785 "," 3,225 "," 2,798 "," 279,243 "," 7,909 "," 19,762 "," 2,857 ",," 3,441 ",
 WALES ,Bridgend,W06000013,UKL1705, 2 , 61 , 63 , 5 , 68 , 9 , 200 , 209 , 407 , 616 ," 5,031 "," 3,661 "," 3,255 "," 2,850 "," 3,305 "," 2,862 "," 87,204 "," 7,996 "," 9,070 "," 2,927 ",," 3,431 ",
 WALES ,Vale of Glamorgan,W06000014,UKL2206, 3 , 54 , 57 , 4 , 61 , 18 , 186 , 204 , 305 , 510 ," 5,690 "," 4,576 "," 3,455 "," 2,937 "," 3,578 "," 2,989 "," 76,100 "," 7,511 "," 8,335 "," 3,049 ",," 3,694 ",
 WALES ,Cardiff,W06000015,UKL2207, 11 , 142 , 153 , 12 , 164 , 55 , 464 , 519 ," 1,037 "," 1,556 "," 5,217 "," 4,472 "," 3,270 "," 2,780 "," 3,404 "," 2,849 "," 88,164 "," 10,131 "," 9,468 "," 2,930 ",," 3,434 ",
 WALES ,Rhondda Cynon Taf,W06000016,UKL1503, 2 , 107 , 109 , 7 , 116 , 10 , 333 , 343 , 419 , 762 ," 5,483 "," 3,871 "," 3,111 "," 2,765 "," 3,152 "," 2,776 "," 59,393 "," 7,302 "," 6,579 "," 2,829 ",," 3,320 ",
 WALES ,Merthyr Tydfil,W06000024,UKL1504, 0 , 27 , 27 , 2 , 29 , 2 , 83 , 84 , 123 , 207 ," 4,863 "," 3,150 "," 3,118 "," 2,789 "," 3,141 "," 2,793 "," 72,638 "," 8,866 "," 7,255 "," 2,840 ",," 3,417 ",
 WALES ,Caerphilly,W06000018,UKL1604, 1 , 77 , 78 , 5 , 83 , 7 , 252 , 259 , 416 , 674 ," 5,943 "," 4,135 "," 3,263 "," 2,844 "," 3,303 "," 2,854 "," 82,295 "," 7,656 "," 8,083 "," 2,910 ",," 3,404 ",
 WALES ,Blaenau Gwent,W06000019,UKL1605, 0 , 32 , 32 , 2 , 35 , 2 , 98 , 100 , 155 , 255 ," 4,909 "," 3,475 "," 3,077 "," 2,722 "," 3,101 "," 2,727 "," 70,148 "," 6,393 "," 7,384 "," 2,772 ",," 3,249 ",
 WALES ,Torfaen,W06000020,UKL1606, 1 , 40 , 41 , 3 , 44 , 5 , 127 , 132 , 268 , 400 ," 4,971 "," 3,515 "," 3,190 "," 2,812 "," 3,234 "," 2,822 "," 98,410 "," 8,552 "," 9,196 "," 2,875 ",," 3,346 ",
 WALES ,Monmouthshire,W06000021,UKL2103, 4 , 38 , 41 , 4 , 46 , 24 , 141 , 164 , 232 , 397 ," 6,764 "," 5,049 "," 3,710 "," 3,035 "," 3,969 "," 3,123 "," 52,099 "," 7,632 "," 8,643 "," 3,227 ",," 4,170 ",
 WALES ,Newport,W06000022,UKL2104, 3 , 64 , 67 , 5 , 71 , 16 , 209 , 225 , 601 , 826 ," 5,651 "," 4,643 "," 3,267 "," 2,807 "," 3,367 "," 2,848 "," 133,314 "," 9,390 "," 11,595 "," 2,915 ",," 3,551 ",
 SCOTLAND ,Aberdeen City,S12000033,UKM5001, 15 , 111 , 126 , 9 , 134 , 64 , 341 , 404 , 731 ," 1,135 "," 4,254 "," 3,308 "," 3,071 "," 2,495 "," 3,211 "," 2,545 "," 85,393 "," 13,530 "," 8,439 "," 2,642 ",," 3,788 ",
 SCOTLAND ,Aberdeenshire,S12000034,UKM5002, 17 , 108 , 125 , 13 , 138 , 121 , 454 , 575 , 651 ," 1,226 "," 7,197 "," 6,260 "," 4,198 "," 3,471 "," 4,601 "," 3,644 "," 48,877 "," 7,866 "," 8,871 "," 3,747 ",," 5,210 ",
 SCOTLAND ,Angus,S12000041,UKM2101, 10 , 51 , 61 , 6 , 67 , 58 , 189 , 247 , 261 , 509 ," 5,819 "," 4,910 "," 3,680 "," 3,076 "," 4,028 "," 3,219 "," 47,374 "," 7,977 "," 7,604 "," 3,311 ",," 4,635 ",
 SCOTLAND ,Argyll and Bute,S12000035,"UKM3101, UKM6302, UKM6303", 17 , 42 , 59 , 7 , 66 , 116 , 156 , 272 , 225 , 497 ," 7,010 "," 6,033 "," 3,682 "," 2,906 "," 4,618 "," 3,390 "," 32,268 "," 7,277 "," 7,543 "," 3,519 ",," 6,630 ",
