" Sub-national electricity sales and numbers of customers, 2016 (1) ",,,, Number of MPANs (thousands) ,,,,, Sales (GWh) ,,,,, Averages (KWh) ,,,,,,,,,,, Average domestic consumption per household (kWh) (2) ,
,,,, Domestic consumers ,,, Non-domestic consumers ,, Domestic consumers ,,, Non-domestic consumers , All , Domestic Economy 7 ,, Standard ,, All domestic ,, Non-domestic ,, All ,,,,
 Region , Local Authority , LA Code , LAU1 , Economy 7 meters , Standard Meters , All domestic , All Non-domestic , Total number of Meters , Economy 7 meters , Standard meters , All domestic , All non-domestic , Total consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption ,,,
 YORKSHIRE AND THE HUMBER ,Kirklees ,E08000034,UKE4402, 10 , 173 , 183 , 13 , 197 , 54 , 580 , 633 , 847 ," 1,480 "," 5,147 "," 3,926 "," 3,349 "," 2,822 "," 3,451 "," 2,854 "," 63,940 "," 8,978 "," 7,525 "," 2,926 ",," 3,499 ",
 YORKSHIRE AND THE HUMBER ,Leeds ,E08000035,UKE4200, 34 , 313 , 347 , 26 , 372 , 175 ," 1,054 "," 1,230 "," 1,899 "," 3,129 "," 5,161 "," 4,228 "," 3,371 "," 2,838 "," 3,546 "," 2,908 "," 74,168 "," 10,319 "," 8,403 "," 2,991 ",," 3,710 ",
 YORKSHIRE AND THE HUMBER ,Wakefield,E08000036,UKE4500, 9 , 145 , 154 , 11 , 164 , 46 , 460 , 506 ," 1,120 "," 1,627 "," 5,252 "," 4,252 "," 3,173 "," 2,725 "," 3,291 "," 2,765 "," 105,817 "," 9,225 "," 9,894 "," 2,832 ",," 3,477 ",
 EAST MIDLANDS ,Derby,E06000015,UKF1100, 42 , 68 , 110 , 8 , 117 , 158 , 218 , 376 , 641 ," 1,017 "," 3,765 "," 3,064 "," 3,226 "," 2,765 "," 3,432 "," 2,873 "," 81,880 "," 11,237 "," 8,661 "," 2,950 ",," 3,554 ",
 EAST MIDLANDS ,Leicester,E06000016,UKF2100, 39 , 93 , 133 , 13 , 145 , 152 , 302 , 453 , 879 ," 1,333 "," 3,851 "," 3,022 "," 3,226 "," 2,676 "," 3,411 "," 2,770 "," 69,742 "," 9,797 "," 9,160 "," 2,873 ",," 3,484 ",
 EAST MIDLANDS ,Nottingham,E06000018,UKF1400, 39 , 93 , 131 , 12 , 143 , 154 , 295 , 450 , 780 ," 1,230 "," 4,007 "," 3,151 "," 3,185 "," 2,676 "," 3,427 "," 2,806 "," 64,936 "," 9,535 "," 8,586 "," 2,898 ",," 3,414 ",
 EAST MIDLANDS ,Rutland,E06000017,UKF2208, 7 , 9 , 17 , 2 , 19 , 38 , 36 , 74 , 262 , 336 ," 5,186 "," 3,790 "," 3,775 "," 3,043 "," 4,391 "," 3,332 "," 142,090 "," 9,632 "," 18,059 "," 3,455 ",," 4,661 ",
 EAST MIDLANDS ,Amber Valley,E07000032,UKF1301, 20 , 37 , 57 , 4 , 61 , 89 , 123 , 211 , 359 , 571 ," 4,423 "," 3,437 "," 3,359 "," 2,835 "," 3,737 "," 3,019 "," 87,762 "," 10,781 "," 9,405 "," 3,107 ",," 3,877 ",
 EAST MIDLANDS ,Bolsover,E07000033,UKF1201, 8 , 27 , 36 , 2 , 38 , 32 , 88 , 120 , 220 , 341 ," 3,878 "," 3,117 "," 3,233 "," 2,775 "," 3,385 "," 2,855 "," 105,159 "," 10,577 "," 9,058 "," 2,918 ",," 3,541 ",
 EAST MIDLANDS ,Chesterfield,E07000034,UKF1202, 13 , 36 , 49 , 4 , 53 , 48 , 108 , 156 , 231 , 387 ," 3,680 "," 3,012 "," 3,013 "," 2,597 "," 3,190 "," 2,691 "," 55,315 "," 8,300 "," 7,297 "," 2,764 ",," 3,256 ",
